"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dropout_rate","embedding","focal_gamma","l1_lambda","label_smoothing","learning_rate","loss_reduction","loss_type","lr_scheduler","method","metric.goal","metric.name","model_dim","norm_first","num_encoder_layers","num_heads","optimizer","parameters.activations","parameters.batch_sizes","parameters.dropout_rates","parameters.embeddings","parameters.focal_gammas","parameters.l1_lambdas","parameters.label_smoothings","parameters.learning_rates","parameters.loss_reductions","parameters.loss_types","parameters.lr_schedulers","parameters.model_dims","parameters.norm_firsts","parameters.num_encoder_layerss","parameters.num_headss","parameters.optimizers","parameters.pooling_types","parameters.pos_encoding_scalings","parameters.weight_decays","pooling_type","pos_encoding_scaling","weight_decay","best_model_path","train/accuracy","train/f1_macro","train/f1_weighted","train/loss","train/precision_macro","train/precision_weighted","train/recall_macro","train/recall_weighted","val/accuracy","val/f1_score_macro","val/f1_score_weighted","val/loss","val/precision_macro","val/precision_weighted","val/recall_macro","val/recall_weighted"
"giddy-sweep-76","running","-","","","2025-02-08T10:45:44.000Z","25116","8l41p0nn","gelu","256","0.3","true","0","0.0001","0.1","0.000001","mean","focal","ReduceLROnPlateau","","","","512","true","2","8","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0","models/giddy-sweep-76_njqqldj6/model_epoch_84_loss_0.9319.pt","0.9020103206366612","0.46977862428496864","0.9145260776082064","0.5924031408711155","0.44247981185382274","0.9334026963054058","0.5289278494466865","0.9020103206366612","0.9278478134552712","0.4995362425382152","0.9314697545933154","0.626037113512716","0.5149181670992966","0.943036665533837","0.5220267452088533","0.9278478134552712"
"polished-sweep-75","finished","-","","","2025-02-08T09:20:22.000Z","5116","8l41p0nn","relu","128","0.4","true","3","0","0.1","0.00001","mean","focal","CosineAnnealingLR","","","","128","false","6","4","adam","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/polished-sweep-75_gehuh85b/model_epoch_21_loss_0.8833.pt","0.9044905530815864","0.24981073550476737","0.8817850778464499","0.22803883448975984","0.28773415234940075","0.8816126780434524","0.26096124114185903","0.9044905530815864","0.8904580249096834","0.22623232168767732","0.8682828531745894","0.19990666758629583","0.2156257897950121","0.8615096000992262","0.25130296962805604","0.8904580249096834"
"quiet-sweep-74","finished","-","","","2025-02-08T08:40:08.000Z","2410","8l41p0nn","relu","256","0.2","true","2","0.0001","0.2","0.0001","mean","focal","CosineAnnealingLR","","","","256","false","5","8","adam","","","","","","","","","","","","","","","","","","","","mean","1","0.1","models/quiet-sweep-74_s79unhuu/model_epoch_1_loss_0.8227.pt","0.7121700496558934","0.08554727585289382","0.6343528921937113","0.875692645109809","0.08724071411074218","0.5950194456916622","0.10265861692152328","0.7121700496558934","0.7281408685546825","0.08591150816775249","0.6450352481386836","0.8220131927920926","0.07253179409124755","0.5941357316973599","0.11232229616566965","0.7281408685546825"
"laced-sweep-73","finished","-","","","2025-02-08T07:25:06.000Z","4496","8l41p0nn","gelu","64","0.1","true","2","0","0.1","0.00001","mean","focal","ReduceLROnPlateau","","","","512","true","1","16","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0.01","models/laced-sweep-73_gp6vbemf/model_epoch_14_loss_0.9701.pt","0.993133240751654","0.9150946825682232","0.9929764632204552","0.007648116158051395","0.916233531522844","0.993267010775158","0.9177354530149948","0.993133240751654","0.9687997372609454","0.863134882670306","0.9696514312732668","0.06836625642592822","0.8654082216904893","0.9790827400153542","0.8833606195598509","0.9687997372609454"
"comfy-sweep-72","finished","-","","","2025-02-08T04:54:44.000Z","9018","8l41p0nn","relu","256","0.3","true","2","0.0001","0.05","0.0001","mean","focal","ReduceLROnPlateau","","","","512","false","2","16","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/comfy-sweep-72_jyo2gq7j/model_epoch_23_loss_0.9742.pt","0.9851800986968532","0.6872171731981324","0.98490923098449","0.024244857410964982","0.718011734083694","0.9848923119687724","0.6780612773497727","0.9851800986968532","0.971452391178031","0.7228301028090568","0.9737699174662175","0.05618562762655558","0.7368518994529104","0.9845059859583324","0.7451158019704348","0.971452391178031"
"morning-sweep-71","finished","-","","","2025-02-08T03:23:16.000Z","5485","8l41p0nn","gelu","256","0.3","true","3","0.00001","0.05","0.001","mean","focal","ReduceLROnPlateau","","","","512","true","5","8","adam","","","","","","","","","","","","","","","","","","","","mean","1","0.1","models/morning-sweep-71_w5oilzgh/model_epoch_1_loss_0.6199.pt","0.5025647858237292","0.03363542846595794","0.3773380599950435","0.5119510885928593","0.027591323511077553","0.3052324618109481","0.0441849725716844","0.5025647858237292","0.5723163984538817","0.03767032715561582","0.4457941562260221","0.45736418981705945","0.03084194560170686","0.3734275874929006","0.05939383772962471","0.5723163984538817"
"denim-sweep-70","finished","-","","","2025-02-07T23:34:55.000Z","13697","8l41p0nn","gelu","128","0.2","true","1","0.0001","0.2","0.000001","mean","focal","ReduceLROnPlateau","","","","128","false","2","8","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/denim-sweep-70_4jb9o1rx/model_epoch_120_loss_0.9440.pt","0.967936333867984","0.4565865686652156","0.9635758655620084","0.12584210157150127","0.4982685234591672","0.9611513812370764","0.4640537763243795","0.967936333867984","0.9461132304272036","0.42677492275219087","0.943921062509138","0.1626077999751414","0.4156613082907878","0.9487016585987124","0.4562294685072172","0.9461132304272036"
"tough-sweep-69","finished","-","","","2025-02-07T22:22:33.000Z","4339","8l41p0nn","relu","64","0.2","true","3","0.0001","0.2","0.001","mean","focal","ReduceLROnPlateau","","","","256","false","6","4","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0.1","models/tough-sweep-69_ion7dwmp/model_epoch_5_loss_0.9650.pt","0.9790051398205418","0.5846683099590674","0.9778044018649706","0.046725009810532535","0.6382028960234264","0.9775914115102582","0.5742016041531374","0.9790051398205418","0.9516459085971252","0.5410636777209319","0.9529556254587594","0.0909189450899329","0.5596849591119016","0.9653843116656584","0.5598970093385336","0.9516459085971252"
"azure-sweep-68","finished","-","","","2025-02-07T22:05:02.000Z","1045","8l41p0nn","gelu","64","0.1","true","2","0.00001","0.2","0.0001","mean","focal","CosineAnnealingLR","","","","256","false","1","8","adam","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/azure-sweep-68_jxdp8dtv/model_epoch_0_loss_0.9416.pt","0.6860148711457752","0.0841850029638202","0.6078124094813425","0.6533113362945494","0.10365706918628012","0.5845783654989685","0.09284652747325033","0.6860148711457752","0.6665740343076574","0.06336625620003758","0.595230905510318","0.7643147677135005","0.05606122974714087","0.5481692104627534","0.08512001426091456","0.6665740343076574"
"noble-sweep-67","finished","-","","","2025-02-07T13:54:34.000Z","29426","8l41p0nn","gelu","256","0.2","true","3","0","0.2","0.000001","mean","focal","CosineAnnealingLR","","","","512","false","2","2","adam","","","","","","","","","","","","","","","","","","","","cls","1","0","models/noble-sweep-67_5qz4ddzg/model_epoch_104_loss_0.9677.pt","0.98769620227218","0.7761572921374345","0.9876324278827712","0.020413853629213927","0.7858837810996187","0.9876974368139598","0.7766686684339544","0.98769620227218","0.9651618118889422","0.8075637473642633","0.9673832889230296","0.09398723827494727","0.8100211816548384","0.9786459610731956","0.8397987758820096","0.9651618118889422"
